Metric,Value
timing__hold_r2r__ws__corner:max_ss_125C_4v50,2.596040
timing__hold_r2r_vio__count__corner:max_ss_125C_4v50,0
timing__setup_vio__count__corner:max_ss_125C_4v50,0
timing__setup_r2r__ws__corner:max_ss_125C_4v50,3.678860
timing__setup_r2r_vio__count__corner:max_ss_125C_4v50,0
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,57361.3
design__instance__displacement__mean,1.668
design__instance__displacement__max,255.193
route__wirelength__estimated,1.82685E+6
design__violations,0
design__instance__count__class:timing_repair_buffer,9684
design__instance__area__class:timing_repair_buffer,238838
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,24
design__instance__count__class:clock_buffer,204
design__instance__area__class:clock_buffer,18097.2
design__instance__count__class:clock_inverter,70
design__instance__area__class:clock_inverter,1642.01
design__instance__count__setup_buffer,28
design__instance__count__hold_buffer,60
flow__warnings__count:RSZ-0062,1
flow__warnings__count:RSZ-0064,1
global_route__vias,74
global_route__wirelength,2483544
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,37
design__instance__count__class:antenna_cell,69
design__instance__area__class:antenna_cell,302.938
route__net,23500
route__net__special,2
route__drc_errors__iter:0,18
route__wirelength__iter:0,1978344
route__drc_errors__iter:1,3
route__wirelength__iter:1,1978310
route__drc_errors__iter:2,0
route__wirelength__iter:2,1978305
route__drc_errors__iter:3,1
route__wirelength__iter:3,1978297
route__drc_errors__iter:4,1
route__wirelength__iter:4,1978297
route__drc_errors__iter:5,0
route__wirelength__iter:5,1978297
route__drc_errors__iter:6,6
route__wirelength__iter:6,1978033
route__drc_errors__iter:7,0
route__wirelength__iter:7,1978073
route__drc_errors,0
route__wirelength,1978305
route__vias,155804
route__vias__singlecut,155804
route__vias__multicut,0
flow__warnings__count:DRT-0349,8
flow__warnings__count:GRT-0243,1
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,2890.07
design__instance__count__class:fill_cell,47941
design__instance__area__class:fill_cell,773742
timing__unannotated_net__count__corner:nom_tt_025C_5v00,94
timing__unannotated_net_filtered__count__corner:nom_tt_025C_5v00,0
timing__unannotated_net__count__corner:nom_ss_125C_4v50,94
timing__unannotated_net_filtered__count__corner:nom_ss_125C_4v50,0
timing__unannotated_net__count__corner:nom_ff_n40C_5v50,94
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_5v50,0
design__max_slew_violation__count__corner:min_tt_025C_5v00,12
design__max_fanout_violation__count__corner:min_tt_025C_5v00,5
design__max_cap_violation__count__corner:min_tt_025C_5v00,0
clock__skew__worst_hold__corner:min_tt_025C_5v00,-1.1283996278976405
clock__skew__worst_setup__corner:min_tt_025C_5v00,1.1486034670711727
timing__hold__ws__corner:min_tt_025C_5v00,0.8957572714891722
timing__setup__ws__corner:min_tt_025C_5v00,21.28346448213257
timing__hold__tns__corner:min_tt_025C_5v00,0.0
timing__setup__tns__corner:min_tt_025C_5v00,0.0
timing__hold__wns__corner:min_tt_025C_5v00,0
timing__setup__wns__corner:min_tt_025C_5v00,0.0
timing__hold_vio__count__corner:min_tt_025C_5v00,0
timing__hold_r2r__ws__corner:min_tt_025C_5v00,0.895757
timing__hold_r2r_vio__count__corner:min_tt_025C_5v00,0
timing__setup_vio__count__corner:min_tt_025C_5v00,0
timing__setup_r2r__ws__corner:min_tt_025C_5v00,21.283464
timing__setup_r2r_vio__count__corner:min_tt_025C_5v00,0
timing__unannotated_net__count__corner:min_tt_025C_5v00,94
timing__unannotated_net_filtered__count__corner:min_tt_025C_5v00,0
design__max_slew_violation__count__corner:min_ss_125C_4v50,499
design__max_fanout_violation__count__corner:min_ss_125C_4v50,5
design__max_cap_violation__count__corner:min_ss_125C_4v50,0
clock__skew__worst_hold__corner:min_ss_125C_4v50,-1.5025012770340702
clock__skew__worst_setup__corner:min_ss_125C_4v50,1.454058692385946
timing__hold__ws__corner:min_ss_125C_4v50,2.1237385784415332
timing__setup__ws__corner:min_ss_125C_4v50,6.6274347885508025
timing__hold__tns__corner:min_ss_125C_4v50,0.0
timing__setup__tns__corner:min_ss_125C_4v50,0.0
timing__hold__wns__corner:min_ss_125C_4v50,0
timing__setup__wns__corner:min_ss_125C_4v50,0.0
timing__hold_vio__count__corner:min_ss_125C_4v50,0
timing__hold_r2r__ws__corner:min_ss_125C_4v50,2.123739
timing__hold_r2r_vio__count__corner:min_ss_125C_4v50,0
timing__setup_vio__count__corner:min_ss_125C_4v50,0
timing__setup_r2r__ws__corner:min_ss_125C_4v50,6.627435
timing__setup_r2r_vio__count__corner:min_ss_125C_4v50,0
timing__unannotated_net__count__corner:min_ss_125C_4v50,94
timing__unannotated_net_filtered__count__corner:min_ss_125C_4v50,0
design__max_slew_violation__count__corner:min_ff_n40C_5v50,10
design__max_fanout_violation__count__corner:min_ff_n40C_5v50,5
design__max_cap_violation__count__corner:min_ff_n40C_5v50,0
clock__skew__worst_hold__corner:min_ff_n40C_5v50,-0.9903904643385807
clock__skew__worst_setup__corner:min_ff_n40C_5v50,1.0066987528531344
timing__hold__ws__corner:min_ff_n40C_5v50,0.3286560006057377
timing__setup__ws__corner:min_ff_n40C_5v50,27.751441041771145
timing__hold__tns__corner:min_ff_n40C_5v50,0.0
timing__setup__tns__corner:min_ff_n40C_5v50,0.0
timing__hold__wns__corner:min_ff_n40C_5v50,0
timing__setup__wns__corner:min_ff_n40C_5v50,0.0
timing__hold_vio__count__corner:min_ff_n40C_5v50,0
timing__hold_r2r__ws__corner:min_ff_n40C_5v50,0.328656
timing__hold_r2r_vio__count__corner:min_ff_n40C_5v50,0
timing__setup_vio__count__corner:min_ff_n40C_5v50,0
timing__setup_r2r__ws__corner:min_ff_n40C_5v50,27.751442
timing__setup_r2r_vio__count__corner:min_ff_n40C_5v50,0
timing__unannotated_net__count__corner:min_ff_n40C_5v50,94
timing__unannotated_net_filtered__count__corner:min_ff_n40C_5v50,0
design__max_slew_violation__count__corner:max_tt_025C_5v00,31
design__max_fanout_violation__count__corner:max_tt_025C_5v00,5
design__max_cap_violation__count__corner:max_tt_025C_5v00,0
clock__skew__worst_hold__corner:max_tt_025C_5v00,-1.233960302198275
clock__skew__worst_setup__corner:max_tt_025C_5v00,1.2582808484635457
timing__hold__ws__corner:max_tt_025C_5v00,1.1211427659142426
timing__setup__ws__corner:max_tt_025C_5v00,19.576744335281145
timing__hold__tns__corner:max_tt_025C_5v00,0.0
timing__setup__tns__corner:max_tt_025C_5v00,0.0
timing__hold__wns__corner:max_tt_025C_5v00,0
timing__setup__wns__corner:max_tt_025C_5v00,0.0
timing__hold_vio__count__corner:max_tt_025C_5v00,0
timing__hold_r2r__ws__corner:max_tt_025C_5v00,1.121143
timing__hold_r2r_vio__count__corner:max_tt_025C_5v00,0
timing__setup_vio__count__corner:max_tt_025C_5v00,0
timing__setup_r2r__ws__corner:max_tt_025C_5v00,19.576744
timing__setup_r2r_vio__count__corner:max_tt_025C_5v00,0
timing__unannotated_net__count__corner:max_tt_025C_5v00,94
timing__unannotated_net_filtered__count__corner:max_tt_025C_5v00,0
timing__unannotated_net__count__corner:max_ss_125C_4v50,94
timing__unannotated_net_filtered__count__corner:max_ss_125C_4v50,0
design__max_slew_violation__count__corner:max_ff_n40C_5v50,10
design__max_fanout_violation__count__corner:max_ff_n40C_5v50,5
design__max_cap_violation__count__corner:max_ff_n40C_5v50,0
clock__skew__worst_hold__corner:max_ff_n40C_5v50,-1.0654482042641669
clock__skew__worst_setup__corner:max_ff_n40C_5v50,1.0857606232525783
timing__hold__ws__corner:max_ff_n40C_5v50,0.45673244257176954
timing__setup__ws__corner:max_ff_n40C_5v50,26.629270209307023
timing__hold__tns__corner:max_ff_n40C_5v50,0.0
timing__setup__tns__corner:max_ff_n40C_5v50,0.0
timing__hold__wns__corner:max_ff_n40C_5v50,0
timing__setup__wns__corner:max_ff_n40C_5v50,0.0
timing__hold_vio__count__corner:max_ff_n40C_5v50,0
timing__hold_r2r__ws__corner:max_ff_n40C_5v50,0.456732
timing__hold_r2r_vio__count__corner:max_ff_n40C_5v50,0
timing__setup_vio__count__corner:max_ff_n40C_5v50,0
